Step	Training Loss
24450	1.310200
24475	1.620400
24500	1.287000
24525	1.616200
24550	1.354800
24575	1.598500
24600	1.281100
24625	1.607200
24650	1.402400
24675	1.617600
24700	1.295300
24725	1.625400
24750	1.225800
24775	1.584900
24800	1.308000
24825	1.551500
24850	1.285000
24875	1.660700
24900	1.273400
24925	1.628000
24950	1.356800
24975	1.682900
25000	1.291200
25025	1.617300
25050	1.300300
25075	1.640700
25100	1.271900
25125	1.674300
25150	1.258900
25175	1.635600
25200	1.265600
25225	1.615100
25250	1.258300
25275	1.589100
25300	1.312000
25325	1.589500
25350	1.275900
25375	1.618300
25400	1.143000
25425	1.601600
25450	1.277200
25475	1.612200
25500	1.320300
25525	1.637900
25550	1.303900
25575	1.563300
25600	1.349900
25625	1.675600
25650	1.293100
25675	1.578500
25700	1.272700
25725	1.622400
25750	1.254200
25775	1.622100
25800	1.260600
25825	1.621000
25850	1.340100
25875	1.600400
25900	1.390400
25925	1.611500
25950	1.270900
25975	1.643000
26000	1.334000
26025	1.610000
26050	1.305600
26075	1.602200
26100	1.195400
26125	1.613900
26150	1.310300
26175	1.642900
26200	1.350000
26225	1.624700
26250	1.207600
26275	1.580700
26300	1.215400
26325	1.635500
26350	1.263000
26375	1.631500
26400	1.288500
26425	1.639200
26450	1.256500
26475	1.574800
26500	1.229700
26525	1.618500
26550	1.265800
26575	1.621300
26600	1.309400
26625	1.610100
26650	1.251800
26675	1.632800
26700	1.376400
26725	1.587800
26750	1.224100
26775	1.641500
26800	1.211300
26825	1.646800
26850	1.294500
26875	1.633100
26900	1.217800
26925	1.626800
26950	1.232600
26975	1.644600
27000	1.300300
27025	1.597100
27050	1.216200
27075	1.625500
27100	1.292500
27125	1.593500
27150	1.243300
27175	1.598500
27200	1.199600
27225	1.606200
27250	1.246300
27275	1.573100
27300	1.267900
27325	1.607300
27350	1.226400
27375	1.631800
27400	1.357600
27425	1.590500
27450	1.276700
27475	1.637200
27500	1.335900
27525	1.672800
27550	1.233200
27575	1.627100
27600	1.213100
27625	1.632200
27650	1.231000
27675	1.600500
27700	1.250200
27725	1.631900
27750	1.247100
27775	1.644400
27800	1.205800
27825	1.640000
27850	1.214400
27875	1.579700
27900	1.199700
27925	1.598700
27950	1.334200
27975	1.621600
28000	1.303700
28025	1.619300
28050	1.270800
28075	1.601700
28100	1.249400
28125	1.601000
28150	1.286600
28175	1.600300
28200	1.218400
28225	1.574200
28250	1.209600
28275	1.630500
28300	1.256900
28325	1.610200
28350	1.221300
28375	1.650700
28400	1.240200
28425	1.569900
28450	1.221500
28475	1.603300
28500	1.261200
28525	1.572100
28550	1.307400
28575	1.613800
28600	1.300600
28625	1.571500
28650	1.205600
28675	1.614300
28700	1.324000
28725	1.602500
28750	1.290200
28775	1.651100
28800	1.301100
28825	1.603300
28850	1.249900
28875	1.631500
28900	1.348700
28925	1.605400
28950	1.324100
28975	1.618200
29000	1.238500
29025	1.609100
29050	1.219400
29075	1.594200
29100	1.307800
29125	1.588500
29150	1.320800
29175	1.614300
29200	1.328200
29225	1.577400
29250	1.215000
29275	1.617900
29300	1.225300
29325	1.675700
29350	1.284400
29375	1.606900
29400	1.230100
29425	1.641900
29450	1.310300
29475	1.632900
29500	1.300800
29525	1.655800
29550	1.310200
29575	1.670800
29600	1.241300
29625	1.618800
29650	1.191800
29675	1.589100
29700	1.265400
29725	1.599200
29750	1.290000
29775	1.602300
29800	1.252200
29825	1.576600
29850	1.282500
29875	1.658500
29900	1.220000
29925	1.586700
29950	1.285900
29975	1.604100
30000	1.290300
30025	1.594300
30050	1.252200
30075	1.610200
30100	1.330000
30125	1.630800
30150	1.233600
30175	1.607000
30200	1.260900
30225	1.632700
30250	1.230900
30275	1.577800
30300	1.211700
30325	1.615500
30350	1.292400
30375	1.664500
30400	1.241900
30425	1.610700
30450	1.265400
30475	1.628700
30500	1.247300
30525	1.643200
30550	1.253400
30575	1.616200
30600	1.267200
30625	1.636700
30650	1.368200
30675	1.577900
30700	1.230100
30725	1.652200
30750	1.266600
30775	1.586500
30800	1.203100
30825	1.596300
30850	1.303700
30875	1.603400
30900	1.258000
30925	1.639000
30950	1.307500
30975	1.543100
31000	1.196700
31025	1.592700
31050	1.286300
31075	1.615900
31100	1.323200
31125	1.598500
31150	1.271200
31175	1.654600
31200	1.273800
31225	1.596500
31250	1.289200
31275	1.640100
31300	1.338300
31325	1.588300
31350	1.267700
31375	1.609200
31400	1.251700
31425	1.596400
31450	1.316900
31475	1.582900
31500	1.296900
31525	1.653500
31550	1.291700
31575	1.596200
31600	1.328000
31625	1.605200
31650	1.271000
31675	1.580100
31700	1.230500
31725	1.637700
31750	1.292200
31775	1.623100
31800	1.309100
31825	1.591100
31850	1.237300
31875	1.591800
31900	1.209900
31925	1.631500
31950	1.330600
31975	1.666200
32000	1.327600
32025	1.613800
32050	1.252100
32075	1.600800
32100	1.326900
32125	1.609800
32150	1.341600
32175	1.643500
32200	1.237500
32225	1.614000
32250	1.235100
32275	1.641000
32300	1.332400
32325	1.651400
32350	1.269100
32375	1.594300
32400	1.326500
32425	1.622300
32450	1.250300
32475	1.633900
32500	1.301700
32525	1.668100
32550	1.291000
32575	1.615200
32600	1.201100
32625	1.621000
32650	1.257300
32675	1.608400
32700	1.262800
32725	1.590600
32750	1.297800
32775	1.628300
32800	1.186700
32825	1.637800
32850	1.275000
32875	1.602900
32900	1.217100
32925	1.602500
32950	1.234100
32975	1.640300
33000	1.315500
33025	1.634900
33050	1.293700
33075	1.604000
33100	1.298400
33125	1.593500
33150	1.235900
33175	1.621200
33200	1.263600
33225	1.575800
33250	1.294500
33275	1.536800
33300	1.242000
33325	1.635600
33350	1.141300
33375	1.536200
33400	1.263000
33425	1.594200
33450	1.264600
33475	1.599200
33500	1.305700
33525	1.610000
33550	1.266600
33575	1.577600
33600	1.342000
33625	1.596200
33650	1.341200
33675	1.616900
33700	1.256700
33725	1.647100
33750	1.245400
33775	1.611400
33800	1.360000
33825	1.570400
33850	1.304500
33875	1.624000
33900	1.235200
33925	1.573900
33950	1.239600
33975	1.630800
34000	1.265000
34025	1.621400
34050	1.359200
34075	1.568300
34100	1.314000
34125	1.622600
34150	1.249400
34175	1.587200
34200	1.289000
34225	1.670300
34250	1.315000
34275	1.617400
34300	1.227900
34325	1.540400
34350	1.289200
34375	1.643100
34400	1.210100
34425	1.581500
34450	1.273400
34475	1.586900
34500	1.208800
34525	1.596900
34550	1.289800
34575	1.640200
34600	1.255000
34625	1.583500
34650	1.335800
34675	1.583000
34700	1.363700
34725	1.591500
34750	1.153600
34775	1.634800
34800	1.253900
34825	1.577300
34850	1.291300
34875	1.660800
34900	1.335300
34925	1.616000
34950	1.234300
34975	1.600300
35000	1.284600
35025	1.608900
35050	1.256400
35075	1.617400
35100	1.251000
35125	1.630900
35150	1.275100
35175	1.623800
35200	1.279700
35225	1.628300
35250	1.214500
35275	1.635800
35300	1.282000
35325	1.613000
35350	1.275700
35375	1.623600
35400	1.297800
35425	1.607300
35450	1.292300
35475	1.597500
35500	1.294700
35525	1.605800
35550	1.251800
35575	1.621700
35600	1.200700
35625	1.566500
35650	1.293700
35675	1.614600
35700	1.208500
35725	1.603300
35750	1.241900
35775	1.651800
35800	1.323200
35825	1.615600
35850	1.297700
35875	1.599500
35900	1.293200
35925	1.541200
35950	1.201900
35975	1.626700
36000	1.260300
36025	1.646200
36050	1.275600
36075	1.564900
36100	1.292400
36125	1.625900
36150	1.276500
36175	1.630100
36200	1.291900
36225	1.600700
36250	1.313000
36275	1.579300
36300	1.250900
36325	1.553500
36350	1.251100
36375	1.626600
36400	1.261500
36425	1.648500
36450	1.234000
36475	1.617300
36500	1.269200
36525	1.629000
36550	1.254200
36575	1.567000
36600	1.248900
36625	1.599800
36650	1.252800
36675	1.584100
36700	1.214300
36725	1.661800
36750	1.350900
36775	1.569500
36800	1.225700
36825	1.642800
36850	1.251100
36875	1.654200
36900	1.231200
36925	1.616200
36950	1.262800
36975	1.563300
37000	1.188800
37025	1.657500
37050	1.229100
37075	1.574900
37100	1.297900
37125	1.612300
37150	1.293300
37175	1.559600
37200	1.177100
37225	1.627500
37250	1.288100
37275	1.598300
37300	1.254100
37325	1.580900
37350	1.296900
37375	1.594000
37400	1.305900
37425	1.620500
37450	1.358800
37475	1.627000
37500	1.298900
37525	1.654900
37550	1.246600
37575	1.605000
37600	1.238900
37625	1.619300
37650	1.256500
37675	1.603000
37700	1.189500
37725	1.615900
37750	1.185600
37775	1.599900
37800	1.212100
37825	1.637000
37850	1.259400
37875	1.612300
37900	1.260400
37925	1.586900
37950	1.316000
37975	1.563400
38000	1.299000
38025	1.598900
38050	1.288300
38075	1.597000
38100	1.291800
38125	1.604800
38150	1.299900
38175	1.634600
38200	1.298200
38225	1.609300
38250	1.253200
38275	1.591800
38300	1.262000
38325	1.631600
38350	1.317200
38375	1.635100
38400	1.276400
38425	1.667800
38450	1.286900
38475	1.580500
38500	1.188100
38525	1.615900
38550	1.251500
38575	1.617900
38600	1.215700
38625	1.642400
38650	1.268600
38675	1.584800
38700	1.230900
38725	1.571600
38750	1.235100
38775	1.579000
38800	1.292700
38825	1.562100
38850	1.266100
38875	1.606700
38900	1.274200
38925	1.623600
38950	1.310600
38975	1.567200
39000	1.209200
39025	1.621300
39050	1.301200
39075	1.624800
39100	1.214200
39125	1.584500
39150	1.185900
39175	1.607400
39200	1.218300
39225	1.558500
39250	1.255700
39275	1.675900
39300	1.246000
39325	1.652300
39350	1.268700
39375	1.625400
39400	1.303900
39425	1.584300
39450	1.265900
39475	1.592500
39500	1.283800
39525	1.580600
39550	1.246400
39575	1.664500
39600	1.367600
39625	1.601800
39650	1.258200
39675	1.610800
39700	1.261100
39725	1.642200
39750	1.240500
39775	1.602100
39800	1.225200
39825	1.645400
39850	1.290600
39875	1.621000
39900	1.275000
39925	1.655000
39950	1.293700
39975	1.571200
40000	1.276600
40025	1.574000
40050	1.188000
40075	1.596700
40100	1.347600
40125	1.638100
40150	1.303600
40175	1.584800
40200	1.213800
40225	1.659000
40250	1.208000
40275	1.583700
40300	1.283100
40325	1.601800
40350	1.180500
40375	1.573100
40400	1.288000
40425	1.580800
40450	1.171200
40475	1.593600
40500	1.238500
40525	1.592300
40550	1.185200
40575	1.676800
40600	1.302600
40625	1.599900
40650	1.243800
40675	1.605400
40700	1.250000
40725	1.616400
40750	1.220400
40775	1.627900
40800	1.271500
40825	1.530000
40850	1.201000
40875	1.614000
40900	1.278600
40925	1.560400
40950	1.234200
40975	1.576700
41000	1.303400
41025	1.568200
41050	1.293500
41075	1.611200
41100	1.268300
41125	1.591000
41150	1.172100
41175	1.576900
41200	1.266600
41225	1.650400
41250	1.252400
41275	1.591100
41300	1.267000
41325	1.594200
41350	1.253400
41375	1.641100
41400	1.279200
41425	1.617500
41450	1.233500
41475	1.546000
41500	1.278600
41525	1.560600
41550	1.234000
41575	1.597700
41600	1.223800
41625	1.608000
41650	1.215000
41675	1.600900
41700	1.268800
41725	1.562100
41750	1.276800
41775	1.586800
41800	1.300000
41825	1.591700
41850	1.258500
41875	1.610200
41900	1.255100
41925	1.620600
41950	1.257000
41975	1.608300
42000	1.287100
42025	1.606400
42050	1.228800
42075	1.655000
42100	1.287900
42125	1.580200
42150	1.260700
42175	1.595400
42200	1.200000
42225	1.608800
42250	1.254600
42275	1.584600
42300	1.233300
42325	1.610900
42350	1.276400
42375	1.568900
42400	1.235600
42425	1.572600
42450	1.297900
42475	1.632500
42500	1.362600
42525	1.525700
42550	1.172400
42575	1.620000
42600	1.324600
42625	1.571500
42650	1.261400
42675	1.568300
42700	1.271800
42725	1.626300
42750	1.273800
42775	1.616800
42800	1.246800
42825	1.579200
42850	1.239400
42875	1.576500
42900	1.201000
42925	1.637300
42950	1.200200
42975	1.640600
43000	1.228200
43025	1.597900
43050	1.177000
43075	1.575100
43100	1.289400
43125	1.583500
43150	1.288600
43175	1.602500
43200	1.223300
43225	1.591500
43250	1.215100
43275	1.608700
43300	1.278600
43325	1.602700
43350	1.321800
43375	1.583000
43400	1.373800
43425	1.627200
43450	1.292500
43475	1.662300
43500	1.210800
43525	1.607400
43550	1.231800
43575	1.587100
43600	1.330000
43625	1.568100
43650	1.266300
43675	1.645600
43700	1.237900
43725	1.618800
